smiles,pIC50
CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)c2ccccn2)c2cn[nH]c2c1,7.53
CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)c2cccnc2)c2cn[nH]c2c1,7.46
CCc1cc(O)c(F)cc1-c1cc(NS(C)(=O)=O)c2cn[nH]c2c1,8.4
CCc1cc(O)c(F)cc1-c1cc(N[C@@H](C)CO)c2[nH]c(N)nc(=O)c2c1,5.8
CCc1cc(O)c(F)cc1-c1cc(N[C@@H](C)CO)c2nc(N)ncc2c1,9.3
CCc1cc(O)c(F)cc1-c1cc(N[C@@H](C)CO)c2nc(NCCCCCN(C)C)ncc2c1,9.2
CCc1cc(O)c(F)cc1-c1cc(N[C@@H](C)CO)c2nc(NCCCN(C)C)ncc2c1,8.3
CCc1cc(O)c(F)cc1-c1cc(N[C@@H](C)CO)c2nc(NCCOCCN(C)C)ncc2c1,8.3
CCc1cc(O)c(F)cc1-c1cc(N[C@@H]2CCCN(C)C2)c2nc(N)ncc2c1,8.7
CCc1cc(O)c(F)cc1-c1cc(N[C@@H]2C[C@H]3CC[C@@H](C2)N3)c2nc(N)ncc2c1,9.2
CCc1cc(O)c(F)cc1-c1cc(N[C@H](C)CO)c2nc(N)ncc2c1,8.7
CCc1cc(O)c(F)cc1-c1cc(N[C@H]2CCCN(C)C2)c2nc(N)ncc2c1,9.4
CCc1cc(O)c(F)cc1-c1cc(N[C@H]2C[C@H]3CC[C@@H](C2)N3)c2nc(N)ncc2c1,9.5
CCc1cc(O)c(F)cc1-c1cc(OC)c2nc(N)ncc2c1,8.6
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3cc(C#N)ccn3)CC4)n[nH]c2c1,7.72
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3ccc(C#N)nc3)C4)n[nH]c2c1,9.15
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3ccc(C#N)nc3)CC4)n[nH]c2c1,8.47
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3ccc(Cl)cn3)CC4)n[nH]c2c1,8.54
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3ccc(F)cc3)CC4)n[nH]c2c1,8.35
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3ccsn3)C4)n[nH]c2c1,7.88
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3ccsn3)CC4)n[nH]c2c1,8.6
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3cnc(N5CCCCC5)cn3)C4)n[nH]c2c1,8.46
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(Cc3ccc(O)cc3)C4)n[nH]c2c1,8.37
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(Cc3ccc(Oc5ccccc5)nc3)C4)n[nH]c2c1,8.21
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(Cc3ccc5ncccc5c3)C4)n[nH]c2c1,8.38
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(Cc3cccc(O)c3)C4)n[nH]c2c1,8.59
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(Cc3cccc(OC)c3)C4)n[nH]c2c1,8.52
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(Cc3ccccc3)CC4)n[nH]c2c1,9.1
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(Cc3cccnc3C#N)C4)n[nH]c2c1,8.4
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(Cc3ccnc(C#N)c3)C4)n[nH]c2c1,8.23
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(Cc3cnc5ccccc5c3)C4)n[nH]c2c1,8.77
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(S(=O)(=O)c3ccc(F)cc3)C4)n[nH]c2c1,8.92
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(S(=O)(=O)c3ccc(N5CCOCC5)nc3)C4)n[nH]c2c1,8.08
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(S(=O)(=O)c3ccc(Oc5ccccc5)nc3)C4)n[nH]c2c1,8.6
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(Cc3ccccc3)CC4)n[nH]c2c1,8.74
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4cc(C(=O)c5ccc(Oc6ccccc6F)cc5OCC(C)NN)cnc4[nH]3)n[nH]c2c1,8.82
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4cc(Cc5ccc(N6C=CC=CC6)nc5)cnc4[nH]3)n[nH]c2c1,8.4
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4cc(Cc5ccc6c(n5)NCC=C6)cnc4[nH]3)n[nH]c2c1,7.86
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,9.1
CCc1cc(O)ccc1-c1cc(NS(=O)(=O)CC)c2cn[nH]c2c1,7.78
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)=O)CC4)n[nH]c2c1,9.3
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C)CC4)n[nH]c2c1,8.68
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(S(C)(=O)=O)CC4)n[nH]c2c1,8.89
CCc1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,9.4
CCc1cc(O)ccc1-c1ccc2c(-c3ncc[nH]3)n[nH]c2c1,9.05
CCc1cc(O)ccc1-c1ccc2c(C(=O)N(C)C)n[nH]c2c1,5.56
CCc1cc(O)ccc1-c1ccc2c(C(=O)NC)n[nH]c2c1,8.12
CCc1cc(O)ccc1-c1ccc2c(C(=O)Nc3ccc(C)nc3)n[nH]c2c1,7.22
CCc1cc(O)ccc1-c1ccc2c(C(N)=O)n[nH]c2c1,8.77
CCc1ccc(COC[C@H]2CCN(S(=O)(=O)C[C@H]3CC[C@H](N(C)c4ncnc5[nH]ccc45)CC3)C2)nc1,7.76
CCc1ccc(NC(=O)N2CC(CC#N)(n3cc(C(N)=O)c(Nc4ccccc4)n3)C2)cc1,8.7
CCc1cccc(C)c1NC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,7.03
CCc1cccc(NC(=O)N2CC(CC#N)(n3cc(C(N)=O)c(Nc4ccccc4)n3)C2)c1,8.1
CCc1cccc(Oc2cnc3[nH]cc(C(=O)NC(C)C)c3n2)c1,5.38
CCc1ccccc1NC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,7.8
CCc1nc(Nc2nc3c(cc(C(=O)N(C4CC4)C4CC4)n3CC)c3c2ncn3C)sc1C,6.6
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(NC(=O)NCCOC)nc21,6.66
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(NC(=O)OCCOC)nc21,5.77
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(NC)nc21,7.19
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(NCCCOC)nc21,5.72
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)[nH]n3)nc21,7.8
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,7.12
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)nn3C)nc21,6.27
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C(=O)NC)c(C)s3)nc21,7.66
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)c(C(=O)N4CCS(=O)(=O)CC4)s3)nc21,7.32
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)c(C(=O)NC)s3)nc21,7.72
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)c(C)s3)nc21,6.57
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)c(S(C)(=O)=O)s3)nc21,7.4
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)cs3)nc21,7.34
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)n(C)n3)nc21,5.22
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3ncc(C)s3)nc21,7.21
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nccs3)nc21,7.4
CCn1cc(-c2cn3ncc(C(N)=O)c(N[C@H]4CCN(c5ccc(C#N)nn5)CC4(C)C)c3n2)cn1,9.52
CCn1cc(-c2cn3ncc(C(N)=O)c(N[C@H]4CN(C(=O)C5(C#N)CC5)C[C@H]4C)c3n2)cn1,8.38
CCn1cc(-c2cn3ncc(C(N)=O)c(N[C@H]4CN(C(=O)C5(C#N)CC5)C[C@H]4CF)c3n2)cn1,8.7
CCn1cc(-c2cn3ncc(C(N)=O)c(N[C@H]4CN(c5ccc(C#N)cn5)C[C@H]4C)c3n2)cn1,8.32
CCn1cc(-c2cn3ncc(C(N)=O)c(N[C@H]4CN(c5ncc(C#N)cn5)C[C@H]4C)c3n2)cn1,8.08
CCn1cc(-c2cnc3[nH]cc(C(=O)N[C@H](C)C(=O)N4CC(C#N)C4)c3n2)cn1,7.64
CCn1ccnc1CN1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1,7.52
CCn1ccnc1CN1CC[C@@H](C#N)[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,8.7
CCn1ccnc1CN1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,8.15
CCn1nc(Nc2nc3c(cc(C(=O)N(C4CC4)C4CC4)n3CC)c3c2ncn3C)cc1C,6.48
CN(C#N)C1CCc2ccc(-c3ncnc4[nH]ccc34)cc21,5.6
CN(C(=O)CC#N)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(C(=O)CCc1c(Cl)cccc1Cl)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(C(=O)N1CCCC1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(C(=O)NC1CCOCC1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(C(=O)N[C@H]1CCCN(S(C)(=O)=O)C1)c1cnc2[nH]ccc2n1,5.65
CN(C(=O)Nc1ccc(C(F)(F)F)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(C(=O)Nc1ccc(Cl)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(C(=O)Nc1cccc(C#N)c1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(C(=O)OC(C)(C)C)[C@H]1CCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)C1,8.16
CN(C(C1CC1)C1CC1)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,8.15
CN(C(C1CC1)C1CC1)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,9.82
CN(C)C(=O)/C(C#N)=C/c1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,7.28
CN(C)C(=O)/C=C/c1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,7.72
CN(C)C(=O)C(C#N)=Cc1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,6.73
CN(C)C(=O)CCc1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,7.35
CN(C)C(=O)CN1CN([C@H]2CC[C@H](CNCC(F)(F)F)CC2)c2c(cnc3[nH]ccc23)C1=O,8.12
CN(C)C(=O)CO[C@@H]1CCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)C1,8.0
CN(C)C(=O)c1ccc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)cc1,9.22
CN(C)C(=O)c1ccc(Nc2nc3cccc(-c4ccc(C(=O)N5CCOCC5)cc4)c3o2)cc1,6.74
CN(C)C(=O)c1ccc(Nc2nn(C3(CC#N)CCN(C(=O)OC(C)(C)C)CC3)cc2C(N)=O)cc1,9.15
CN(C)C(=O)c1ccc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc1,10.3
CN(C)C(=O)c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc12,5.51
CN(C)C1CN(C[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)C1,7.11
CN(C)CC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,7.89
CN(C)CC(=O)N1CCCC(Cn2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,5.64
CN(C)CC(=O)N1CCCC(n2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,5.86
CN(C)CC(C)(C)COC(=O)N1CC[C@@H](C#N)[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,7.8
CN(C)CC(C)(C)COC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,7.06
CN(C)CC1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,7.96
CN(C)CCCOC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,6.7
CN(C)CCCn1c(=O)c2cc([N+](=O)[O-])ccc2c2cnc3[nH]ccc3c21,5.48
CN(C)CCCn1c(=O)c2ccccc2c2cnc3[nH]ccc3c21,6.37
CN(C)CCN(C)c1ccc2cc1COC/C=C/COCc1cccc(c1)-c1ccnc(n1)N2,5.44
CN(C)CCN(C)c1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,5.44
CN(C)CCNC(=O)c1cnc(N)c2cc(-c3ccc(S(=O)(=O)NC(C)(C)C)cc3)sc12,6.15
CN(C)CCOC(=O)N1CC[C@@H](C#N)[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,8.05
CN(C)CCOC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,7.6
CN(C)C[C@H]1CC[C@H](N2CNC(=O)c3cnc4[nH]ccc4c32)CC1,7.96
CN(C)C[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,8.42
CN(C)S(=O)(=O)CCNC1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,9.0
CN(C)S(=O)(=O)C[C@H]1CCCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)C1,8.11
CN(C)S(=O)(=O)C[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,8.37
CN(C)S(=O)(=O)c1ccc(Nc2nn(C3(CC#N)CCN(C(=O)OC(C)(C)C)CC3)cc2C(N)=O)cc1,9.52
CN(C)S(=O)(=O)c1ccc2c(c1)CCN2C[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,7.66
CN(C)[C@@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,9.35
CN(C)[C@@H]1CCN(C[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)C1,7.68
CN(C)[C@@H]1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)nc3)n2)[C@H](C#N)C1,7.52
CN(C)[C@@H]1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(OC(F)F)nc3)n2)[C@H](C#N)C1,6.98
CN(C)[C@@H]1CC[C@H](C#N)[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,6.52
CN(C)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)[C@@H](C#N)C1,9.46
CN(C)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)nc3)n2)[C@@H](C#N)C1,8.1
CN(C)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)c(F)c3)n2)[C@@H](C#N)C1,8.15
CN(C)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1,8.7
CN(C)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(OC(F)(F)F)cc3)n2)[C@@H](C#N)C1,8.3
CN(C)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(OC(F)F)cc3)n2)[C@@H](C#N)C1,9.0
CN(C)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(OC(F)F)nc3)n2)[C@@H](C#N)C1,8.15
CN(C)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)[C@@H](C#N)C1,7.92
CN(C)[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,9.61
CN(C)[C@H]1CCCN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(C#Cc3cnc(N)nc3)ccc2F)C1,5.89
CN(C)[C@H]1CCN(C(=O)c2ccc3[nH]c4c(C(N)=O)cc(-c5ccc(Cl)c(Cl)c5)cc4c3c2)C1,7.39
CN(C)[C@H]1CCN(C[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)C1,7.62
CN(C)[C@H]1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)nc3)n2)[C@H](C#N)C1,7.3
CN(C)[C@H]1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(OC(F)F)nc3)n2)[C@H](C#N)C1,6.42
CN(C)[C@H]1CC[C@H](C#N)[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,6.39
CN(C)[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,7.64
CN(C)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)[C@@H](C#N)C1,9.52
CN(C)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)nc3)n2)[C@@H](C#N)C1,8.1
CN(C)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)c(F)c3)n2)[C@@H](C#N)C1,8.7
CN(C)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1,8.43
CN(C)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@@H](C#N)C1,8.47
CN(C)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(OC(F)(F)F)cc3)n2)[C@@H](C#N)C1,9.12
CN(C)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(OC(F)F)cc3)n2)[C@@H](C#N)C1,9.4
CN(C)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccccc3)n2)[C@@H](C#N)C1,9.19
CN(C)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)[C@@H](C#N)C1,8.52
CN(C)c1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc(F)n1,8.65
CN(C)c1ccc(C(=O)N2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccccc4)n3)CC2)cc1,7.85
CN(C)c1ccc(C(F)(F)F)c(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c1,5.33
CN(C)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,7.1
CN(C)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,7.41
CN(C1CC1)S(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,7.77
CN(C1CCC1)[C@H]1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)[C@H](C#N)C1,8.22
CN(CC#N)C[C@H]1CC[C@H](N2CN(C)C(=O)c3cnc4[nH]ccc4c32)CC1,8.26
CN(CC#N)C[C@H]1CC[C@H](N2CN(C3CC3)C(=O)c3cnc4[nH]ccc4c32)CC1,7.92
CN(CC#N)C[C@H]1CC[C@H](N2CN(CC(F)(F)F)C(=O)c3cnc4[nH]ccc4c32)CC1,7.96
CN(CC(F)(F)F)C(=O)C1CCCN(N(C)c2ncnc3[nH]ccc23)C1,7.82
CN(CC(F)(F)F)C[C@H]1CC[C@H](N2CN(C)C(=O)c3cnc4[nH]ccc4c32)CC1,8.82
CN(CC(F)(F)F)C[C@H]1CC[C@H](N2CN(CC#N)C(=O)c3cnc4[nH]ccc4c32)CC1,9.05
CN(CC(F)(F)F)C[C@H]1CC[C@H](N2CNC(=O)c3cnc4[nH]ccc4c32)CC1,8.85
CN(CC(F)(F)F)[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)[C@@H](C#N)C1,9.0
CN(CC(F)F)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,8.52
CN(CC1(C)COC1)[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1,9.0
CN(CC1CC1)S(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,8.3
CN(CC1CC1)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)[C@@H](C#N)C1,8.4
CN(CCC#N)C[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,7.92
CN(CCC#N)S(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,7.66
CN(CCC#N)c1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,6.55
CN(CCC(F)(F)F)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,7.96
CN(CCC(F)(F)F)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,8.7
CN(CCO)C[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,8.02
CN(CCS(C)(=O)=O)C1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CC1,9.0
CN(C[C@H]1CC[C@H](N2CN(C3CC3)C(=O)c3cnc4[nH]ccc4c32)CC1)S(C)(=O)=O,8.39
CN(C[C@H]1CC[C@H](N2CN(CC(F)(F)F)C(=O)c3cnc4[nH]ccc4c32)CC1)S(C)(=O)=O,8.3
CN(C[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1)c1ccc(C#N)cc1,8.41
CN(C[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1)c1ccc(F)cc1,7.72
CN([C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1)S(C)(=O)=O,7.92
CN([C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1)C(C)(C)C1CC1,9.0
CN([C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1)C1(C)COC1,9.19
CN([C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1)C(C)(C)C,9.26
CN([C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1)C1(C)COC1,9.22
CN([C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1)S(C)(=O)=O,9.0
CN(c1cc(F)c(C#N)c(F)c1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1cc2cn[nH]c2cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(-c2ccncc2)cn1)[C@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(-c2nnn[nH]2)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(Br)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(C#N)c(F)c1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.06
CN(c1ccc(C#N)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(C(=O)NC2c3ccccc3C[C@H]2O)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,8.7
CN(c1ccc(C(=O)NC[C@H](O)c2ccccc2)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(C(=O)Nc2nccs2)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,7.85
CN(c1ccc(C(F)(F)F)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(Cl)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(F)cc1)C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,7.96
CN(c1ccc(NS(=O)(=O)C2=CCCS2)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(NS(=O)(=O)Cc2ccccc2F)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(NS(=O)(=O)c2cccnc2)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(NS(C)(=O)=O)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(S(=O)(=O)C(F)(F)F)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(S(=O)(=O)N2CCCC2)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
CN(c1ccc(S(=O)(=O)N2CCNCC2)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
